機能ID,機能名,VP-01 正常系,VP-02 異常系,VP-03 境界値,VP-04 状態遷移,VP-05 入力検証,VP-06 認証強度,VP-07 セッション,VP-08 エラーメッセージ,VP-09 UI操作性,VP-10 データ整合性,VP-11 リカバリ,テスト優先度
F-01,ログイン,◎,◎,○,◎,◎,◎,○,○,○,○,—,最高
F-02,フロントバリデーション,—,◎,◎,—,◎,—,—,◎,◎,—,—,高
F-03,アカウントロック,○,◎,◎,◎,○,◎,—,◎,○,◎,◎,最高
F-04,期限切れ遷移,◎,○,◎,◎,○,○,—,○,○,—,—,高
F-05,PW変更（自己）,◎,◎,○,○,○,○,○,◎,◎,◎,◎,高
F-06,ログアウト,◎,○,—,○,—,—,◎,○,◎,—,—,高
F-07,ユーザー追加,◎,◎,○,—,◎,—,—,○,○,◎,—,高
F-08,ユーザー一覧,◎,○,—,—,—,—,—,—,○,○,—,低
F-09,ロック管理,◎,○,—,◎,—,○,—,○,○,◎,◎,高
F-10,有効/無効化,◎,○,—,◎,—,—,—,○,○,◎,◎,中
F-11,ユーザー削除,◎,○,—,—,—,—,—,○,○,◎,—,中
F-12,PW管理（管理者）,◎,○,○,—,○,—,—,○,○,◎,—,中
,凡例: ◎=重点テスト  ○=テスト対象  —=対象外,,,,,,,,,,,
