テストグループID,テストグループ名,コンディションID,テストコンディション,前提条件,使用技法,対応機能ID,対応ペルソナ,優先度,対応ユーザーストーリー,自動化区分
TG-01,ログイン正常系,TC-01,有効なID/PWでログインできる,有効ユーザーが登録されている,同値分割（有効クラス）,F-01,P-01,最高,US-01,E2E自動化済み（SC-01）
TG-01,ログイン正常系,TC-23,ログアウト後フォームがクリアされる,ログイン済み状態,正常系,F-06,P-01,高,US-04,E2E自動化済み（SC-11）
TG-02,フロントバリデーション,TC-11,ユーザーID未入力 → 必須エラー,—,同値分割（無効クラス）,F-02,P-01,高,US-05,E2E自動化済み（SC-02）
TG-02,フロントバリデーション,TC-12,記号含むID → 文字種エラー,—,同値分割（無効クラス）,F-02,P-01,高,US-05,E2E自動化済み（SC-04）
TG-02,フロントバリデーション,TC-15,PW未入力 → 必須エラー,—,同値分割（無効クラス）,F-02,P-01,高,US-05,E2E自動化済み（SC-03）
TG-02,フロントバリデーション,TC-16,PW 7文字 → 長さエラー,—,境界値分析（最小値-1）,F-02,P-01,高,US-05,E2E自動化済み（SC-05）
TG-02,フロントバリデーション,TC-17,PW 8文字 → エラーなし,—,境界値分析（最小値）,F-02,P-01,高,US-05,E2E自動化済み（[BV]）
TG-02,フロントバリデーション,TC-18,PW 32文字 → エラーなし,—,境界値分析（最大値）,F-02,P-01,中,US-05,単体テスト済み（BV-42）
TG-02,フロントバリデーション,TC-19,PW 33文字 → 長さエラー,—,境界値分析（最大値+1）,F-02,P-01,中,US-05,単体テスト済み（BV-47）
TG-02,フロントバリデーション,TC-13,ID 20文字 → エラーなし,—,境界値分析（最大値）,F-02,P-01,中,US-05,単体テスト済み（BV-21）
TG-02,フロントバリデーション,TC-14,ID 21文字 → 長さエラー,—,境界値分析（最大値+1）,F-02,P-01,中,US-05,単体テスト済み（BV-26）
TG-03,認証失敗・残り回数,TC-04,PW不一致1回目 → 残り4回,有効ユーザーが登録されている,状態遷移,F-01+F-03,P-01,高,US-02,E2E自動化済み（SC-06）
TG-03,認証失敗・残り回数,TC-05,PW不一致4回目 → 残り1回,累積3回失敗済み,境界値（閾値-1）,F-01+F-03,P-01,高,US-02,APIテスト済み（TC-L07）
TG-04,アカウントロック,TC-06,5回目失敗 → ACCOUNT_LOCKED,累積4回失敗済み,境界値（閾値ちょうど）,F-03,P-01,最高,US-02,E2E自動化済み（SC-07）
TG-04,アカウントロック,TC-07,ロック中は正PW拒否,ロック状態,状態遷移,F-03,P-01,最高,US-02,E2E自動化済み（SC-08）
TG-05,PW期限切れ,TC-08,89日前のPW → 期限切れでない,—,境界値（期限-1日）,F-04,P-01,中,US-03,単体テスト済み（BV-03）
TG-05,PW期限切れ,TC-09,90日前のPW → 期限切れ,—,境界値（ちょうど期限）,F-04,P-01,高,US-03,単体テスト済み（BV-04）
TG-05,PW期限切れ,TC-10,91日前のPW → 期限切れ,—,境界値（期限+1日）,F-04,P-01,中,US-03,単体テスト済み（BV-05）
TG-06,PW変更,TC-20,新PW=確認PW → 変更成功,期限切れユーザーでPW変更画面表示中,正常系,F-05,P-01,高,US-03,E2E自動化済み（SC-10）
TG-06,PW変更,TC-21,新PW≠確認PW → フィールドエラー,期限切れユーザーでPW変更画面表示中,同値分割（無効）,F-05,P-01,高,US-03,E2E自動化済み（SC-12）
TG-06,PW変更,TC-22,変更成功後ボタンdisabled維持,変更成功直後,UI状態確認,F-05,P-01,中,US-03,E2E自動化済み（[BV]）
TG-07,セキュリティ,TC-24,IDへのSQLインジェクション → 拒否,—,セキュリティテスト,F-01,P-02,最高,—,手動テスト
TG-07,セキュリティ,TC-25,PWへのSQLインジェクション → 認証失敗,—,セキュリティテスト,F-01,P-02,最高,—,手動テスト
TG-07,セキュリティ,TC-26,ログアウト後の保護API → 401,ログイン後にログアウト,セキュリティテスト,F-06,P-02,高,—,APIテスト済み（TC-LO02）
TG-08,ユーザー管理,TC-27,ユーザー追加成功,—,正常系,F-07,P-02,高,US-06,E2E自動化済み（SC-A01）
TG-08,ユーザー管理,TC-28,ID重複 → エラー,同IDが登録済み,同値分割（無効）,F-07,P-02,高,US-06,E2E自動化済み（SC-A02）
TG-08,ユーザー管理,TC-29,手動ロック → ロック中表示,有効ユーザー存在,状態遷移,F-09,P-02,高,US-09,E2E自動化済み（SC-A05）
TG-08,ユーザー管理,TC-30,ロック解除 → 有効表示,ロック中ユーザー存在,状態遷移,F-09,P-02,高,US-07,E2E自動化済み（SC-A06）
TG-08,ユーザー管理,TC-31,無効化 → 無効表示,有効ユーザー存在,状態遷移,F-10,P-02,中,US-08,E2E自動化済み（SC-A09）
TG-08,ユーザー管理,TC-32,有効化 → 有効表示,無効ユーザー存在,状態遷移,F-10,P-02,中,US-08,E2E自動化済み（SC-A10）
TG-08,ユーザー管理,TC-33,削除 → 一覧から消える,対象ユーザー存在,正常系,F-11,P-02,中,US-08,E2E自動化済み（SC-A11）
TG-09,目的機能シナリオ,TC-34,PF-01: 期限切れ→変更→再ログイン,期限切れユーザー存在,シナリオテスト,F-01+F-04+F-05,P-01,高,US-01+US-03,手動テスト
TG-09,目的機能シナリオ,TC-35,PF-02: ロック→解除→ログイン,有効ユーザー存在,シナリオテスト,F-03+F-09+F-01,P-01+P-02,最高,US-02+US-07,手動テスト
TG-09,目的機能シナリオ,TC-36,PF-03: 退職者無効化→ログイン拒否,有効ユーザー存在,シナリオテスト,F-10+F-01,P-02,高,US-08,手動テスト
